Ref,Val,Package,PosX,PosY,Rot,Side
"J1","ESP32-CAM LEFT","PinHeader_1x08_P2.54mm_Vertical",42.000000,-8.000000,0.000000,top
"J2","ESP32-CAM RIGHT","PinHeader_1x08_P2.54mm_Vertical",64.860000,-8.000000,0.000000,top
"J3","USB-UART","PinHeader_1x04_P2.54mm_Vertical",41.000000,-34.000000,90.000000,top
"J4","NANO LEFT ROW","PinHeader_1x15_P2.54mm_Vertical",7.000000,-60.000000,90.000000,top
"J5","NANO RIGHT ROW","PinHeader_1x15_P2.54mm_Vertical",7.000000,-75.240000,90.000000,top
"J8","LED HEAD FFC","Molex_200528-0140_1x14-1MP_P1.00mm_Horizontal",55.000000,-96.000000,0.000000,top
"JP1","BOOT","PinHeader_1x02_P2.54mm_Vertical",61.000000,-39.000000,90.000000,top
"Q1","AO3400A IR","SOT-23",63.000000,-91.000000,180.000000,top
"Q2","AO3400A UVA","SOT-23",46.000000,-91.000000,0.000000,top
"R1","100R 0.25W","R_0805_2012Metric",58.000000,-86.500000,-90.000000,top
"R2","150R","R_0805_2012Metric",62.000000,-82.000000,0.000000,top
"R3","100k","R_0805_2012Metric",62.000000,-85.000000,0.000000,top
"R4","68R 0.25W","R_0805_2012Metric",50.000000,-86.500000,-90.000000,top
"R5","150R","R_0805_2012Metric",38.000000,-82.000000,0.000000,top
"R6","100k","R_0805_2012Metric",38.000000,-85.000000,0.000000,top
"R7","330R","R_0805_2012Metric",50.000000,-80.000000,0.000000,top
"R8","1k","R_0805_2012Metric",46.000000,-50.000000,0.000000,top
"R9","2k","R_0805_2012Metric",55.000000,-50.000000,0.000000,top
"R10","470R","R_0805_2012Metric",46.000000,-45.000000,0.000000,top
