Designator,Mid X,Mid Y,Layer,Rotation
J1,42.000,-8.000,Top,0.000
J2,64.860,-8.000,Top,0.000
J3,41.000,-34.000,Top,90.000
J4,7.000,-60.000,Top,90.000
J5,7.000,-75.240,Top,90.000
J8,55.000,-96.000,Top,0.000
JP1,61.000,-39.000,Top,90.000
Q1,63.000,-91.000,Top,180.000
Q2,46.000,-91.000,Top,0.000
R1,58.000,-86.500,Top,-90.000
R2,62.000,-82.000,Top,0.000
R3,62.000,-85.000,Top,0.000
R4,50.000,-86.500,Top,-90.000
R5,38.000,-82.000,Top,0.000
R6,38.000,-85.000,Top,0.000
R7,50.000,-80.000,Top,0.000
R8,46.000,-50.000,Top,0.000
R9,55.000,-50.000,Top,0.000
R10,46.000,-45.000,Top,0.000
