Comment,Designator,Footprint,Quantity,Layer,Assembly Type,LCSC Part #,Notes
ESP32-CAM LEFT,J1,PinHeader_1x08_P2.54mm_Vertical,1,Top,THT,,"ESP32-CAM left 1x08 socket/header, hand solder unless fab supports THT assembly"
ESP32-CAM RIGHT,J2,PinHeader_1x08_P2.54mm_Vertical,1,Top,THT,,"ESP32-CAM right 1x08 socket/header, hand solder unless fab supports THT assembly"
USB-UART,J3,PinHeader_1x04_P2.54mm_Vertical,1,Top,THT,,"USB-UART upload header: GND, 5V, adapter TX, adapter RX"
NANO LEFT ROW,J4,PinHeader_1x15_P2.54mm_Vertical,1,Top,THT,,"Arduino Nano left socket/header, hand solder unless fab supports THT assembly"
NANO RIGHT ROW,J5,PinHeader_1x15_P2.54mm_Vertical,1,Top,THT,,"Arduino Nano right socket/header, hand solder unless fab supports THT assembly"
LED HEAD JST-GH,J8,JST_GH_SM14B-GHS-TB_1x14-1MP_P1.25mm_Horizontal,1,Top,SMT,,14-pin JST-GH 1.25 mm locking wire-harness connector to LED head board
BOOT,JP1,PinHeader_1x02_P2.54mm_Vertical,1,Top,THT,,ESP32-CAM boot jumper; short IO0 to GND only while uploading
AO3400A IR,Q1,SOT-23,1,Top,SMT,,Logic-level NMOS for IR LED low-side PWM
AO3400A UVA,Q2,SOT-23,1,Top,SMT,,Logic-level NMOS for UVA LED low-side PWM
100R 0.25W,R1,R_0805_2012Metric,1,Top,SMT,,"IR current limit from 5V, about 35 mA with 1.5V Vf"
150R,"R2,R5",R_0805_2012Metric,2,Top,SMT,,
100k,"R3,R6",R_0805_2012Metric,2,Top,SMT,,
68R 0.25W,R4,R_0805_2012Metric,1,Top,SMT,,"UVA current limit from 5V, about 21 mA with 3.6V Vf"
330R,R7,R_0805_2012Metric,1,Top,SMT,,SK6812 RGBW data series resistor before inter-board harness
1k,R8,R_0805_2012Metric,1,Top,SMT,,Nano D4 to ESP32-CAM RX divider high side
2k,R9,R_0805_2012Metric,1,Top,SMT,,Nano D4 to ESP32-CAM RX divider low side
470R,R10,R_0805_2012Metric,1,Top,SMT,,ESP32-CAM GPIO14 to Nano D2 series resistor
