assembly,measurement_id,measurement,value,units,tolerance,datum,notes
esp32_s3_camera_board,S3-01,Board overall width,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-02,Board overall height,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-03,PCB thickness,,mm,+/-0.1,z,
esp32_s3_camera_board,S3-04,Maximum component height top side,,mm,+/-0.2,z,
esp32_s3_camera_board,S3-05,Maximum component height bottom side,,mm,+/-0.2,z,
esp32_s3_camera_board,S3-06,USB-C shell center x,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-07,USB-C shell center y,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-08,USB-C shell width,,mm,+/-0.2,connector shell,
esp32_s3_camera_board,S3-09,USB-C shell depth/height keepout,,mm,+/-0.2,connector shell,
esp32_s3_camera_board,S3-10,Antenna keepout rectangle x/y/width/height,,mm,+/-0.5,top-left origin,
esp32_s3_camera_board,S3-11,Mounting hole 1 center x/y and diameter,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-12,Mounting hole 2 center x/y and diameter,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-13,Mounting hole 3 center x/y and diameter,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-14,Mounting hole 4 center x/y and diameter,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-15,Header row 1 first pin center x/y,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-16,Header row 1 pitch and pin count,,mm,+/-0.1,row pitch,
esp32_s3_camera_board,S3-17,Header row 2 first pin center x/y,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-18,Header row 2 pitch and pin count,,mm,+/-0.1,row pitch,
esp32_s3_camera_board,S3-19,GC2145/FPC connector center x/y,,mm,+/-0.2,top-left origin,
esp32_s3_camera_board,S3-20,Reset/boot button keepouts x/y/width/height,,mm,+/-0.2,top-left origin,
gc2145_camera_module,CAM-01,Camera PCB width,,mm,+/-0.1,top-left origin,
gc2145_camera_module,CAM-02,Camera PCB height,,mm,+/-0.1,top-left origin,
gc2145_camera_module,CAM-03,Camera PCB thickness,,mm,+/-0.1,z,
gc2145_camera_module,CAM-04,Lens optical center x from camera PCB origin,,mm,+/-0.1,top-left origin,
gc2145_camera_module,CAM-05,Lens optical center y from camera PCB origin,,mm,+/-0.1,top-left origin,
gc2145_camera_module,CAM-06,Lens barrel outside diameter,,mm,+/-0.1,lens,
gc2145_camera_module,CAM-07,Lens total height above PCB,,mm,+/-0.1,z,
gc2145_camera_module,CAM-08,Ribbon tail width,,mm,+/-0.1,ribbon,
gc2145_camera_module,CAM-09,Ribbon free length from module to connector,,mm,+/-0.5,ribbon,
gc2145_camera_module,CAM-10,Ribbon exit side and direction,,text,,module orientation,
gc2145_camera_module,CAM-11,Required lens-to-phone-case-opening clearance,,mm,+/-0.2,assembled position,
esp32_c6_lcd_board,C6-01,Board overall width,,mm,+/-0.2,top-left origin,
esp32_c6_lcd_board,C6-02,Board overall height,,mm,+/-0.2,top-left origin,
esp32_c6_lcd_board,C6-03,PCB thickness,,mm,+/-0.1,z,
esp32_c6_lcd_board,C6-04,LCD active area width,,mm,+/-0.1,display active area,
esp32_c6_lcd_board,C6-05,LCD active area height,,mm,+/-0.1,display active area,
esp32_c6_lcd_board,C6-06,LCD active area top-left x/y from board origin,,mm,+/-0.1,top-left origin,
esp32_c6_lcd_board,C6-07,Cover glass/display stack height above PCB,,mm,+/-0.1,z,
esp32_c6_lcd_board,C6-08,Maximum component height top side,,mm,+/-0.2,z,
esp32_c6_lcd_board,C6-09,Maximum component height bottom side,,mm,+/-0.2,z,
esp32_c6_lcd_board,C6-10,USB-C shell center x/y,,mm,+/-0.2,top-left origin,
esp32_c6_lcd_board,C6-11,USB-C shell width/depth keepout,,mm,+/-0.2,connector shell,
esp32_c6_lcd_board,C6-12,Reset/boot button keepouts x/y/width/height,,mm,+/-0.2,top-left origin,
esp32_c6_lcd_board,C6-13,Mounting hole centers and diameters,,mm,+/-0.2,top-left origin,
esp32_c6_lcd_board,C6-14,Antenna keepout rectangle x/y/width/height,,mm,+/-0.5,top-left origin,
projection_sheet,OPT-01,Sheet width,,mm,+/-0.2,sheet,
projection_sheet,OPT-02,Sheet height,,mm,+/-0.2,sheet,
projection_sheet,OPT-03,Sheet thickness,,mm,+/-0.1,sheet,
projection_sheet,OPT-04,Target/actual sheet angle,,deg,+/-1,chamber,
projection_sheet,OPT-05,Slot insertion depth,,mm,+/-0.2,chamber,
projection_sheet,OPT-06,Visible projection area width,,mm,+/-0.2,chamber,
projection_sheet,OPT-07,Visible projection area height,,mm,+/-0.2,chamber,
projection_sheet,OPT-08,LCD active area to sheet distance,,mm,+/-0.5,optical path,
projection_sheet,OPT-09,Camera lens center to sheet nearest point,,mm,+/-0.5,optical path,
projection_sheet,OPT-10,Sheet edge-to-LED distances for Acrylic 1/2/3,,mm,+/-0.5,LED path,
iphone_case,CASE-01,Case outer width at camera area,,mm,+/-0.2,case datum,
iphone_case,CASE-02,Case outer height reference near camera area,,mm,+/-0.2,case datum,
iphone_case,CASE-03,Camera opening width,,mm,+/-0.1,clear aperture,
iphone_case,CASE-04,Camera opening height,,mm,+/-0.1,clear aperture,
iphone_case,CASE-05,Camera opening top-left x/y from case top-left,,mm,+/-0.2,case datum,
iphone_case,CASE-06,Camera opening corner radius,,mm,+/-0.2,clear aperture,
iphone_case,CASE-07,Case thickness at camera opening lip,,mm,+/-0.1,z,
iphone_case,CASE-08,Case back thickness where sled attaches,,mm,+/-0.1,z,
iphone_case,CASE-09,Available flat mounting area width/height,,mm,+/-0.5,case back,
iphone_case,CASE-10,Phone camera lens protrusion clearance needed,,mm,+/-0.2,phone installed,
assembly_clearances,ASM-01,Minimum clearance from GC2145 lens to case opening edge,,mm,>=0.5,assembled,
assembly_clearances,ASM-02,Minimum clearance from C6 LCD board to phone/case,,mm,>=0.5,assembled,
assembly_clearances,ASM-03,Battery clearance to S3 antenna keepout,,mm,>=5.0,assembled,
assembly_clearances,ASM-04,Battery clearance to C6 antenna keepout,,mm,>=5.0,assembled,
assembly_clearances,ASM-05,USB-C plug insertion/removal path for S3,,text,,assembled,
assembly_clearances,ASM-06,USB-C plug insertion/removal path for C6,,text,,assembled,
assembly_clearances,ASM-07,Main sled total thickness added to phone,,mm,+/-0.5,assembled,
assembly_clearances,ASM-08,Hologram chamber total height above phone back,,mm,+/-0.5,assembled,
